Linux 4.15.0-121-generic (node3.pango-4.cloudslostore-pg0.utah.cloudlab.us) 	11/30/2020 	_x86_64_	(20 CPU)

12:40:55 AM   UID       PID   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
12:40:56 AM 20001      7334      0.00      0.00      0.00       0  mongod
12:40:57 AM 20001      7334      0.00      0.00      0.00       0  mongod
12:40:58 AM 20001      7334      0.00      0.00      0.00       0  mongod
12:40:59 AM 20001      7334      0.00      0.00      0.00       0  mongod
12:41:00 AM 20001      7334      0.00   3860.00      0.00       0  mongod
12:41:01 AM 20001      7334      0.00  18044.00      0.00       0  mongod
12:41:02 AM 20001      7334      0.00  17012.00      0.00       0  mongod
12:41:03 AM 20001      7334      0.00  17412.00      0.00       0  mongod
12:41:04 AM 20001      7334      0.00  17632.00      0.00       0  mongod
12:41:05 AM 20001      7334      0.00  17724.00      0.00       0  mongod
12:41:06 AM 20001      7334      0.00  17304.00      0.00       0  mongod
12:41:07 AM 20001      7334      0.00  17256.00      0.00       0  mongod
12:41:08 AM 20001      7334      0.00  17456.00      0.00       0  mongod
12:41:09 AM 20001      7334      0.00  17392.00      0.00       0  mongod
12:41:10 AM 20001      7334      0.00  16676.00      0.00       0  mongod
12:41:11 AM 20001      7334      0.00  16976.00      0.00       0  mongod
12:41:12 AM 20001      7334      0.00  16636.00      0.00       0  mongod
12:41:13 AM 20001      7334      0.00  17228.00      0.00       0  mongod
12:41:14 AM 20001      7334      0.00  16812.00      0.00       0  mongod
12:41:15 AM 20001      7334      0.00  17660.00     20.00       0  mongod
12:41:16 AM 20001      7334      0.00  17448.00      0.00       0  mongod
12:41:17 AM 20001      7334      0.00  17452.00      0.00       0  mongod
12:41:18 AM 20001      7334      0.00  17444.00      0.00       0  mongod
12:41:19 AM 20001      7334      0.00  15732.00      0.00       0  mongod
12:41:20 AM 20001      7334      0.00  17204.00      0.00       0  mongod
12:41:21 AM 20001      7334      0.00  17508.00      0.00       0  mongod
12:41:22 AM 20001      7334      0.00  17172.00      0.00       0  mongod
12:41:23 AM 20001      7334      0.00  17560.00      0.00       0  mongod
12:41:24 AM 20001      7334      0.00  16392.00      0.00       0  mongod
12:41:25 AM 20001      7334      0.00  17668.00      0.00       0  mongod
12:41:26 AM 20001      7334      0.00  17864.00      0.00       0  mongod
12:41:27 AM 20001      7334      0.00  17032.00      0.00       0  mongod
12:41:28 AM 20001      7334      0.00  58632.00      0.00       0  mongod
12:41:29 AM 20001      7334      0.00 180412.00      0.00       0  mongod
12:41:30 AM 20001      7334      0.00  10268.00      0.00       0  mongod
12:41:31 AM 20001      7334      0.00  14912.00      0.00       0  mongod
12:41:32 AM 20001      7334      0.00  16264.00      0.00       0  mongod
12:41:33 AM 20001      7334      0.00  16736.00      0.00       0  mongod
12:41:34 AM 20001      7334      0.00  17444.00      0.00       0  mongod
12:41:35 AM 20001      7334      0.00  13548.00      0.00       0  mongod
12:41:36 AM 20001      7334      0.00  17524.00      0.00       0  mongod
12:41:37 AM 20001      7334      0.00 397588.00      0.00       0  mongod
12:41:38 AM 20001      7334      0.00  97812.00      0.00       0  mongod
12:41:39 AM 20001      7334      0.00  17524.00      0.00       0  mongod
12:41:40 AM 20001      7334      0.00  16660.00      0.00       0  mongod
12:41:41 AM 20001      7334      0.00  17776.00      0.00       0  mongod
12:41:42 AM 20001      7334      0.00  17496.00      0.00       0  mongod
12:41:43 AM 20001      7334      0.00  17243.56      0.00       0  mongod
12:41:44 AM 20001      7334      0.00  17564.00      0.00       0  mongod
12:41:45 AM 20001      7334      0.00  17384.00      0.00       0  mongod
12:41:46 AM 20001      7334      0.00  17484.00      0.00       0  mongod
12:41:47 AM 20001      7334      0.00  17208.00      0.00       0  mongod
12:41:48 AM 20001      7334      0.00  17436.00      0.00       0  mongod
12:41:49 AM 20001      7334      0.00  17472.00     24.00       0  mongod
12:41:50 AM 20001      7334      0.00  17220.00      0.00       0  mongod
12:41:51 AM 20001      7334      0.00  17576.00      0.00       0  mongod
12:41:52 AM 20001      7334      0.00  17060.00      0.00       0  mongod
12:41:53 AM 20001      7334      0.00  15664.00      0.00       0  mongod
12:41:54 AM 20001      7334      0.00  17292.00      0.00       0  mongod
12:41:55 AM 20001      7334      0.00 331268.00      0.00       0  mongod
12:41:56 AM 20001      7334      0.00 322912.00      0.00       0  mongod
12:41:57 AM 20001      7334      0.00 122776.00      0.00       0  mongod
12:41:58 AM 20001      7334      0.00     72.00      0.00       0  mongod
12:41:59 AM 20001      7334      0.00     92.00      0.00       0  mongod
12:42:00 AM 20001      7334      0.00   7504.00      0.00       0  mongod
12:42:01 AM 20001      7334      0.00  17628.00      0.00       0  mongod
12:42:02 AM 20001      7334      0.00  17404.00      0.00       0  mongod
12:42:03 AM 20001      7334      0.00  69628.00      0.00       0  mongod
12:42:04 AM 20001      7334      0.00  17572.00      0.00       0  mongod
12:42:05 AM 20001      7334      0.00  17304.00      0.00       0  mongod
12:42:06 AM 20001      7334      0.00  17236.00      0.00       0  mongod
12:42:07 AM 20001      7334      0.00  17692.00      0.00       0  mongod
12:42:08 AM 20001      7334      0.00  15868.00      0.00       0  mongod
12:42:09 AM 20001      7334      0.00  17592.00      0.00       0  mongod
12:42:10 AM 20001      7334      0.00  17352.00      0.00       0  mongod
12:42:11 AM 20001      7334      0.00  15160.00      0.00       0  mongod
12:42:12 AM 20001      7334      0.00  16588.00      0.00       0  mongod
12:42:13 AM 20001      7334      0.00  17336.00      0.00       0  mongod
12:42:14 AM 20001      7334      0.00  20284.00      0.00       0  mongod
12:42:15 AM 20001      7334      0.00  17896.00      0.00       0  mongod
12:42:16 AM 20001      7334      0.00  17060.00      0.00       0  mongod
12:42:17 AM 20001      7334      0.00  17368.00      0.00       0  mongod
12:42:18 AM 20001      7334      0.00  17512.00      0.00       0  mongod
12:42:19 AM 20001      7334      0.00  17664.00      0.00       0  mongod
12:42:20 AM 20001      7334      0.00  17336.00      0.00       0  mongod
12:42:21 AM 20001      7334      0.00  17504.00     24.00       0  mongod
12:42:22 AM 20001      7334      0.00  17344.00      0.00       0  mongod
12:42:23 AM 20001      7334      0.00  17768.00      0.00       0  mongod
12:42:24 AM 20001      7334      0.00  17668.00      0.00       0  mongod
12:42:25 AM 20001      7334      0.00 100036.00      0.00       0  mongod
12:42:26 AM 20001      7334      0.00  17396.00      0.00       0  mongod
12:42:27 AM 20001      7334      0.00  17068.00      0.00       0  mongod
12:42:28 AM 20001      7334      0.00  17716.00      0.00       0  mongod
12:42:29 AM 20001      7334      0.00  17380.00      0.00       0  mongod
12:42:30 AM 20001      7334      0.00 227380.00      0.00       0  mongod
12:42:31 AM 20001      7334      0.00 126656.00      0.00       0  mongod
12:42:32 AM 20001      7334      0.00  17084.00      0.00       0  mongod
12:42:33 AM 20001      7334      0.00  17208.00      0.00       0  mongod
12:42:34 AM 20001      7334      0.00  17968.00      0.00       0  mongod
12:42:35 AM 20001      7334      0.00  17836.00      0.00       0  mongod
12:42:36 AM 20001      7334      0.00  17272.00      0.00       0  mongod
12:42:37 AM 20001      7334      0.00  15316.00      0.00       0  mongod
12:42:38 AM 20001      7334      0.00  16568.00      0.00       0  mongod
12:42:39 AM 20001      7334      0.00  17568.00      0.00       0  mongod
12:42:40 AM 20001      7334      0.00  17120.00      0.00       0  mongod
12:42:41 AM 20001      7334      0.00  15548.00      0.00       0  mongod
12:42:42 AM 20001      7334      0.00  87440.00      0.00       0  mongod
12:42:43 AM 20001      7334      0.00  17440.00      0.00       0  mongod
12:42:44 AM 20001      7334      0.00  17672.00      0.00       0  mongod
12:42:45 AM 20001      7334      0.00 105240.00      0.00       0  mongod
12:42:46 AM 20001      7334      0.00 159296.00      0.00       0  mongod
12:42:47 AM 20001      7334      0.00     40.00      0.00       0  mongod
12:42:48 AM 20001      7334      0.00  12188.00      0.00       0  mongod
12:42:49 AM 20001      7334      0.00  18064.00      0.00       0  mongod
12:42:50 AM 20001      7334      0.00  17192.00      0.00       0  mongod
12:42:51 AM 20001      7334      0.00  17872.00      0.00       0  mongod
12:42:52 AM 20001      7334      0.00  16560.00      0.00       0  mongod
12:42:53 AM 20001      7334      0.00  17384.00      0.00       0  mongod
12:42:54 AM 20001      7334      0.00  17140.00      0.00       0  mongod
12:42:55 AM 20001      7334      0.00  17084.00      0.00       0  mongod
12:42:56 AM 20001      7334      0.00  98012.00      0.00       0  mongod
12:42:57 AM 20001      7334      0.00  17392.00      0.00       0  mongod
12:42:58 AM 20001      7334      0.00   7200.00      0.00       0  mongod
12:42:59 AM 20001      7334      0.00  10628.00      0.00       0  mongod
