Linux 4.15.0-121-generic (node2.pango-4.cloudslostore-pg0.utah.cloudlab.us) 	11/30/2020 	_x86_64_	(20 CPU)

12:40:54 AM   UID       PID   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
12:40:55 AM 20001      8807      0.00    192.00      0.00       0  mongod
12:40:56 AM 20001      8807      0.00      0.00      0.00       0  mongod
12:40:57 AM 20001      8807      0.00      0.00      0.00       0  mongod
12:40:58 AM 20001      8807      0.00      0.00      0.00       0  mongod
12:40:59 AM 20001      8807      0.00      0.00      0.00       0  mongod
12:41:00 AM 20001      8807      0.00   2172.00      0.00       0  mongod
12:41:01 AM 20001      8807      0.00  17936.00      0.00       0  mongod
12:41:02 AM 20001      8807      0.00  16976.00      0.00       0  mongod
12:41:03 AM 20001      8807      0.00  17624.00      0.00       0  mongod
12:41:04 AM 20001      8807      0.00  17512.00      0.00       0  mongod
12:41:05 AM 20001      8807      0.00  17712.00      0.00       0  mongod
12:41:06 AM 20001      8807      0.00  17284.00      0.00       0  mongod
12:41:07 AM 20001      8807      0.00  17216.00      0.00       0  mongod
12:41:08 AM 20001      8807      0.00  17360.00      0.00       0  mongod
12:41:09 AM 20001      8807      0.00  17216.00      0.00       0  mongod
12:41:10 AM 20001      8807      0.00  16692.00      0.00       0  mongod
12:41:11 AM 20001      8807      0.00  16976.00      0.00       0  mongod
12:41:12 AM 20001      8807      0.00  16576.00      0.00       0  mongod
12:41:13 AM 20001      8807      0.00  17476.00      0.00       0  mongod
12:41:14 AM 20001      8807      0.00  16904.00      0.00       0  mongod
12:41:15 AM 20001      8807      0.00  16740.00     20.00       0  mongod
12:41:16 AM 20001      8807      0.00  17408.00      0.00       0  mongod
12:41:17 AM 20001      8807      0.00  17548.00      0.00       0  mongod
12:41:18 AM 20001      8807      0.00  17440.00      0.00       0  mongod
12:41:19 AM 20001      8807      0.00  15772.00      0.00       0  mongod
12:41:20 AM 20001      8807      0.00  17504.00      0.00       0  mongod
12:41:21 AM 20001      8807      0.00  17432.00      0.00       0  mongod
12:41:22 AM 20001      8807      0.00  16900.00      0.00       0  mongod
12:41:23 AM 20001      8807      0.00  17312.00      0.00       0  mongod
12:41:24 AM 20001      8807      0.00  16328.00      0.00       0  mongod
12:41:25 AM 20001      8807      0.00  17608.00      0.00       0  mongod
12:41:26 AM 20001      8807      0.00  17920.00      0.00       0  mongod
12:41:27 AM 20001      8807      0.00  17144.00      0.00       0  mongod
12:41:28 AM 20001      8807      0.00  40252.00      0.00       0  mongod
12:41:29 AM 20001      8807      0.00 225052.00      0.00       0  mongod
12:41:30 AM 20001      8807      0.00   8888.00      0.00       0  mongod
12:41:31 AM 20001      8807      0.00  16124.00      0.00       0  mongod
12:41:32 AM 20001      8807      0.00  17164.00      0.00       0  mongod
12:41:33 AM 20001      8807      0.00  15788.00      0.00       0  mongod
12:41:34 AM 20001      8807      0.00  17236.00      0.00       0  mongod
12:41:35 AM 20001      8807      0.00  13628.00      0.00       0  mongod
12:41:36 AM 20001      8807      0.00  17476.00      0.00       0  mongod
12:41:37 AM 20001      8807      0.00  17448.00      0.00       0  mongod
12:41:38 AM 20001      8807      0.00  59824.00      0.00       0  mongod
12:41:39 AM 20001      8807      0.00  17484.00      0.00       0  mongod
12:41:40 AM 20001      8807      0.00 430956.00      0.00       0  mongod
12:41:41 AM 20001      8807      0.00 266028.00      0.00       0  mongod
12:41:42 AM 20001      8807      0.00  18008.00      0.00       0  mongod
12:41:43 AM 20001      8807      0.00  17748.00      0.00       0  mongod
12:41:44 AM 20001      8807      0.00  17772.00      0.00       0  mongod
12:41:45 AM 20001      8807      0.00  17432.00      0.00       0  mongod
12:41:46 AM 20001      8807      0.00  17776.00      0.00       0  mongod
12:41:47 AM 20001      8807      0.00  17628.00      0.00       0  mongod
12:41:48 AM 20001      8807      0.00  17264.00      0.00       0  mongod
12:41:49 AM 20001      8807      0.00  17464.00     24.00       0  mongod
12:41:50 AM 20001      8807      0.00  17224.00      0.00       0  mongod
12:41:51 AM 20001      8807      0.00  17556.00      0.00       0  mongod
12:41:52 AM 20001      8807      0.00  17040.00      0.00       0  mongod
12:41:53 AM 20001      8807      0.00  15700.00      0.00       0  mongod
12:41:54 AM 20001      8807      0.00  17088.00      0.00       0  mongod
