Linux 4.15.0-121-generic (node4.pango-4.cloudslostore-pg0.utah.cloudlab.us) 	11/30/2020 	_x86_64_	(20 CPU)

12:40:56 AM   UID       PID   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
12:40:57 AM 20001      7483      0.00      0.00      0.00       0  mongod
12:40:58 AM 20001      7483      0.00      0.00      0.00       0  mongod
12:40:59 AM 20001      7483      0.00      0.00      0.00       0  mongod
12:41:00 AM 20001      7483      0.00   5464.00      0.00       0  mongod
12:41:01 AM 20001      7483      0.00  17788.00      0.00       0  mongod
12:41:02 AM 20001      7483      0.00  16908.00      0.00       0  mongod
12:41:03 AM 20001      7483      0.00  17728.00      0.00       0  mongod
12:41:04 AM 20001      7483      0.00  17380.00      0.00       0  mongod
12:41:05 AM 20001      7483      0.00  17748.00      0.00       0  mongod
12:41:06 AM 20001      7483      0.00  17448.00      0.00       0  mongod
12:41:07 AM 20001      7483      0.00  17360.00      0.00       0  mongod
12:41:08 AM 20001      7483      0.00  17188.00      0.00       0  mongod
12:41:09 AM 20001      7483      0.00  16624.00      0.00       0  mongod
12:41:10 AM 20001      7483      0.00  17132.00      0.00       0  mongod
12:41:11 AM 20001      7483      0.00  16832.00      0.00       0  mongod
12:41:12 AM 20001      7483      0.00  16708.00      0.00       0  mongod
12:41:13 AM 20001      7483      0.00  16960.00      0.00       0  mongod
12:41:14 AM 20001      7483      0.00  16440.00      0.00       0  mongod
12:41:15 AM 20001      7483      0.00  17472.00     20.00       0  mongod
12:41:16 AM 20001      7483      0.00  17444.00      0.00       0  mongod
12:41:17 AM 20001      7483      0.00  17396.00      0.00       0  mongod
12:41:18 AM 20001      7483      0.00  17584.00      0.00       0  mongod
12:41:19 AM 20001      7483      0.00  15680.00      0.00       0  mongod
12:41:20 AM 20001      7483      0.00  17440.00      0.00       0  mongod
12:41:21 AM 20001      7483      0.00  17560.00      0.00       0  mongod
12:41:22 AM 20001      7483      0.00  16740.00      0.00       0  mongod
12:41:23 AM 20001      7483      0.00  17472.00      0.00       0  mongod
12:41:24 AM 20001      7483      0.00  16148.00      0.00       0  mongod
12:41:25 AM 20001      7483      0.00  17540.00      0.00       0  mongod
12:41:26 AM 20001      7483      0.00  17324.00      0.00       0  mongod
12:41:27 AM 20001      7483      0.00  17292.00      0.00       0  mongod
12:41:28 AM 20001      7483      0.00  94372.00      0.00       0  mongod
12:41:29 AM 20001      7483      0.00 109800.00      0.00       0  mongod
12:41:30 AM 20001      7483      0.00  11552.00      0.00       0  mongod
12:41:31 AM 20001      7483      0.00  17480.00      0.00       0  mongod
12:41:32 AM 20001      7483      0.00  15876.00      0.00       0  mongod
12:41:33 AM 20001      7483      0.00  17008.00      0.00       0  mongod
12:41:34 AM 20001      7483      0.00  16756.00      0.00       0  mongod
12:41:35 AM 20001      7483      0.00  13308.00      0.00       0  mongod
12:41:36 AM 20001      7483      0.00 467676.00      0.00       0  mongod
12:41:37 AM 20001      7483      0.00  42404.00      0.00       0  mongod
12:41:38 AM 20001      7483      0.00  18024.00      0.00       0  mongod
12:41:39 AM 20001      7483      0.00  17436.00      0.00       0  mongod
12:41:40 AM 20001      7483      0.00  16508.00      0.00       0  mongod
12:41:41 AM 20001      7483      0.00  17512.00      0.00       0  mongod
12:41:42 AM 20001      7483      0.00  17472.00      0.00       0  mongod
12:41:43 AM 20001      7483      0.00  17400.00      0.00       0  mongod
12:41:44 AM 20001      7483      0.00  17524.00      0.00       0  mongod
12:41:45 AM 20001      7483      0.00  17224.00      0.00       0  mongod
12:41:46 AM 20001      7483      0.00  17456.00      0.00       0  mongod
12:41:47 AM 20001      7483      0.00  16964.00      0.00       0  mongod
12:41:48 AM 20001      7483      0.00  17564.00      0.00       0  mongod
12:41:49 AM 20001      7483      0.00  17220.00     24.00       0  mongod
12:41:50 AM 20001      7483      0.00  16864.00      0.00       0  mongod
12:41:51 AM 20001      7483      0.00  17372.00      0.00       0  mongod
12:41:52 AM 20001      7483      0.00  16848.00      0.00       0  mongod
12:41:53 AM 20001      7483      0.00  15732.00      0.00       0  mongod
12:41:54 AM 20001      7483      0.00 213532.00      0.00       0  mongod
12:41:55 AM 20001      7483      0.00 267724.00      0.00       0  mongod
12:41:56 AM 20001      7483      0.00 301936.00      0.00       0  mongod
12:41:57 AM 20001      7483      0.00     28.00      0.00       0  mongod
12:41:58 AM 20001      7483      0.00     68.00      0.00       0  mongod
12:41:59 AM 20001      7483      0.00     92.00      0.00       0  mongod
12:42:00 AM 20001      7483      0.00  10964.00      0.00       0  mongod
12:42:01 AM 20001      7483      0.00  17720.00      0.00       0  mongod
12:42:02 AM 20001      7483      0.00  17516.00      0.00       0  mongod
12:42:03 AM 20001      7483      0.00  16792.00      0.00       0  mongod
12:42:04 AM 20001      7483      0.00  17164.00      0.00       0  mongod
12:42:05 AM 20001      7483      0.00  67540.00      0.00       0  mongod
12:42:06 AM 20001      7483      0.00  17996.00      0.00       0  mongod
12:42:07 AM 20001      7483      0.00  17628.00      0.00       0  mongod
12:42:08 AM 20001      7483      0.00  15752.00      0.00       0  mongod
12:42:09 AM 20001      7483      0.00  17524.00      0.00       0  mongod
12:42:10 AM 20001      7483      0.00  14964.00      0.00       0  mongod
12:42:11 AM 20001      7483      0.00  17008.00      0.00       0  mongod
12:42:12 AM 20001      7483      0.00  17276.00      0.00       0  mongod
12:42:13 AM 20001      7483      0.00  17392.00      0.00       0  mongod
12:42:14 AM 20001      7483      0.00  17328.00      0.00       0  mongod
12:42:15 AM 20001      7483      0.00  24304.00      0.00       0  mongod
12:42:16 AM 20001      7483      0.00  45624.00      0.00       0  mongod
12:42:17 AM 20001      7483      0.00  17360.00      0.00       0  mongod
12:42:18 AM 20001      7483      0.00  17548.00      0.00       0  mongod
12:42:19 AM 20001      7483      0.00  17468.00      0.00       0  mongod
12:42:20 AM 20001      7483      0.00  16176.00     24.00       0  mongod
12:42:21 AM 20001      7483      0.00  17472.00      0.00       0  mongod
12:42:22 AM 20001      7483      0.00  17312.00      0.00       0  mongod
12:42:23 AM 20001      7483      0.00  17780.00      0.00       0  mongod
12:42:24 AM 20001      7483      0.00  17520.00      0.00       0  mongod
12:42:25 AM 20001      7483      0.00  17124.00      0.00       0  mongod
12:42:26 AM 20001      7483      0.00  17404.00      0.00       0  mongod
12:42:27 AM 20001      7483      0.00  17096.00      0.00       0  mongod
12:42:28 AM 20001      7483      0.00 125256.00      0.00       0  mongod
12:42:29 AM 20001      7483      0.00  17480.00      0.00       0  mongod
12:42:30 AM 20001      7483      0.00  15700.00      0.00       0  mongod
12:42:31 AM 20001      7483      0.00  16976.00      0.00       0  mongod
12:42:32 AM 20001      7483      0.00 150616.00      0.00       0  mongod
12:42:33 AM 20001      7483      0.00  17000.00      0.00       0  mongod
12:42:34 AM 20001      7483      0.00  17804.00      0.00       0  mongod
12:42:35 AM 20001      7483      0.00  17420.00      0.00       0  mongod
12:42:36 AM 20001      7483      0.00  16952.00      0.00       0  mongod
12:42:37 AM 20001      7483      0.00  33412.00      0.00       0  mongod
12:42:38 AM 20001      7483      0.00 210932.00      0.00       0  mongod
12:42:39 AM 20001      7483      0.00 304676.00      0.00       0  mongod
12:42:40 AM 20001      7483      0.00  17220.00      0.00       0  mongod
12:42:41 AM 20001      7483      0.00  15812.00      0.00       0  mongod
12:42:42 AM 20001      7483      0.00  16784.00      0.00       0  mongod
12:42:43 AM 20001      7483      0.00  17404.00      0.00       0  mongod
12:42:44 AM 20001      7483      0.00  17728.00      0.00       0  mongod
12:42:45 AM 20001      7483      0.00  17088.00      0.00       0  mongod
