Linux 4.15.0-121-generic (node1.pango-4.cloudslostore-pg0.utah.cloudlab.us) 	11/30/2020 	_x86_64_	(20 CPU)

12:40:52 AM   UID       PID   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
12:42:23 AM 20001      7331      0.00  20176.00      0.00       0  mongod
12:42:24 AM 20001      7331      0.00  19540.00      0.00       0  mongod
12:42:25 AM 20001      7331      0.00  19540.00      0.00       0  mongod
12:42:26 AM 20001      7331      0.00 125464.00      0.00       0  mongod
12:42:27 AM 20001      7331      0.00  19144.00      0.00       0  mongod
12:42:28 AM 20001      7331      0.00  19988.00      0.00       0  mongod
12:42:29 AM 20001      7331      0.00  19552.00      0.00       0  mongod
12:42:30 AM 20001      7331      0.00  17984.00      0.00       0  mongod
12:42:31 AM 20001      7331      0.00  18872.00      0.00       0  mongod
12:42:32 AM 20001      7331      0.00  19124.00      0.00       0  mongod
12:42:33 AM 20001      7331      0.00 117492.00      0.00       0  mongod
12:42:34 AM 20001      7331      0.00  20132.00      0.00       0  mongod
12:42:35 AM 20001      7331      0.00  19832.00      0.00       0  mongod
12:42:36 AM 20001      7331      0.00  19324.00     24.00       0  mongod
12:42:37 AM 20001      7331      0.00 159364.00      0.00       0  mongod
12:42:38 AM 20001      7331      0.00 149040.00      0.00       0  mongod
12:42:39 AM 20001      7331      0.00  19624.00      0.00       0  mongod
12:42:40 AM 20001      7331      0.00  19844.00      0.00       0  mongod
12:42:41 AM 20001      7331      0.00  17492.00      0.00       0  mongod
12:42:42 AM 20001      7331      0.00  18400.00      0.00       0  mongod
12:42:43 AM 20001      7331      0.00  19852.00      0.00       0  mongod
12:42:44 AM 20001      7331      0.00  19988.00      0.00       0  mongod
12:42:45 AM 20001      7331      0.00  19448.00      0.00       0  mongod
12:42:46 AM 20001      7331      0.00   8732.00      0.00       0  mongod
12:42:47 AM 20001      7331      0.00   1728.00      0.00       0  mongod
12:42:48 AM 20001      7331      0.00  19620.00      0.00       0  mongod
12:42:49 AM 20001      7331      0.00 200588.00      0.00       0  mongod
12:42:50 AM 20001      7331      0.00  41064.00      0.00       0  mongod
12:42:51 AM 20001      7331      0.00  19936.00      0.00       0  mongod
12:42:52 AM 20001      7331      0.00  18276.00      0.00       0  mongod
12:42:53 AM 20001      7331      0.00  19364.00      0.00       0  mongod
12:42:54 AM 20001      7331      0.00  19084.00      0.00       0  mongod
12:42:55 AM 20001      7331      0.00  19400.00      0.00       0  mongod
12:42:56 AM 20001      7331      0.00  66188.00      0.00       0  mongod
12:42:57 AM 20001      7331      0.00 170972.00      0.00       0  mongod
12:42:58 AM 20001      7331      0.00   1456.00      0.00       0  mongod
12:42:59 AM 20001      7331      0.00  19424.00      0.00       0  mongod
12:43:00 AM 20001      7331      0.00 220696.00      0.00       0  mongod
12:43:01 AM 20001      7331      0.00 300644.00      0.00       0  mongod
12:43:02 AM 20001      7331      0.00  97224.00      0.00       0  mongod
12:43:03 AM 20001      7331      0.00    136.00      0.00       0  mongod
12:43:04 AM 20001      7331      0.00   1032.00      0.00       0  mongod
12:43:05 AM 20001      7331      0.00  18448.00      0.00       0  mongod
12:43:06 AM 20001      7331      0.00  19824.00      0.00       0  mongod
12:43:07 AM 20001      7331      0.00  19608.00      0.00       0  mongod
12:43:08 AM 20001      7331      0.00  20280.00      0.00       0  mongod
12:43:09 AM 20001      7331      0.00  20200.00      0.00       0  mongod
12:43:10 AM 20001      7331      0.00  20056.00      0.00       0  mongod
12:43:11 AM 20001      7331      0.00  36552.00      0.00       0  mongod
12:43:12 AM 20001      7331      0.00  19912.00      0.00       0  mongod
12:43:13 AM 20001      7331      0.00  21448.00      0.00       0  mongod
12:43:14 AM 20001      7331      0.00  26432.00      0.00       0  mongod
12:43:15 AM 20001      7331      0.00  19700.00      0.00       0  mongod
12:43:16 AM 20001      7331      0.00  19652.00      0.00       0  mongod
12:43:17 AM 20001      7331      0.00  19996.00      0.00       0  mongod
12:43:18 AM 20001      7331      0.00  21712.00      0.00       0  mongod
12:43:19 AM 20001      7331      0.00  60892.00      0.00       0  mongod
12:43:20 AM 20001      7331      0.00  73660.00      0.00       0  mongod
12:43:21 AM 20001      7331      0.00  19404.00      0.00       0  mongod
12:43:22 AM 20001      7331      0.00  59804.00      0.00       0  mongod
12:43:23 AM 20001      7331      0.00 116656.00      0.00       0  mongod
12:43:24 AM 20001      7331      0.00  17316.00      0.00       0  mongod
12:43:25 AM 20001      7331      0.00  19648.00     24.00       0  mongod
12:43:26 AM 20001      7331      0.00  19872.00      0.00       0  mongod
12:43:27 AM 20001      7331      0.00  19832.00      0.00       0  mongod
12:43:28 AM 20001      7331      0.00  20036.00      0.00       0  mongod
12:43:29 AM 20001      7331      0.00  18820.00      0.00       0  mongod
12:43:30 AM 20001      7331      0.00  19792.00      0.00       0  mongod
12:43:31 AM 20001      7331      0.00  38168.00      0.00       0  mongod
12:43:32 AM 20001      7331      0.00  19688.00      0.00       0  mongod
12:43:33 AM 20001      7331      0.00  20460.00      0.00       0  mongod
12:43:34 AM 20001      7331      0.00  19220.00      0.00       0  mongod
12:43:35 AM 20001      7331      0.00  19460.00      0.00       0  mongod
12:43:36 AM 20001      7331      0.00  19696.00      0.00       0  mongod
12:43:37 AM 20001      7331      0.00  19508.00      0.00       0  mongod
12:43:38 AM 20001      7331      0.00  19420.00      0.00       0  mongod
12:43:39 AM 20001      7331      0.00  19296.00      0.00       0  mongod
12:43:40 AM 20001      7331      0.00  84144.00      0.00       0  mongod
12:43:41 AM 20001      7331      0.00  19308.00      0.00       0  mongod
12:43:42 AM 20001      7331      0.00 171492.00      0.00       0  mongod
12:43:43 AM 20001      7331      0.00  18768.00      0.00       0  mongod
12:43:44 AM 20001      7331      0.00  19440.00      0.00       0  mongod
12:43:45 AM 20001      7331      0.00  19204.00      0.00       0  mongod
12:43:46 AM 20001      7331      0.00  19732.00      0.00       0  mongod
12:43:47 AM 20001      7331      0.00  19284.00      0.00       0  mongod
12:43:48 AM 20001      7331      0.00 146904.00      0.00       0  mongod
12:43:49 AM 20001      7331      0.00 223712.00      0.00       0  mongod
12:43:50 AM 20001      7331      0.00  18084.00      0.00       0  mongod
12:43:51 AM 20001      7331      0.00  19544.00      0.00       0  mongod
12:43:52 AM 20001      7331      0.00  19556.00      0.00       0  mongod
12:43:53 AM 20001      7331      0.00  19368.00      0.00       0  mongod
12:43:54 AM 20001      7331      0.00  18828.00      0.00       0  mongod
12:43:55 AM 20001      7331      0.00  20092.00      0.00       0  mongod
12:43:56 AM 20001      7331      0.00  18472.00      0.00       0  mongod
12:43:57 AM 20001      7331      0.00  20088.00      0.00       0  mongod
12:43:58 AM 20001      7331      0.00  19800.00      0.00       0  mongod
12:43:59 AM 20001      7331      0.00  20008.00      0.00       0  mongod
12:44:00 AM 20001      7331      0.00  19732.00      0.00       0  mongod
12:44:01 AM 20001      7331      0.00 104520.00      0.00       0  mongod
12:44:02 AM 20001      7331      0.00  19604.00      0.00       0  mongod
12:44:03 AM 20001      7331      0.00  18296.00      0.00       0  mongod
12:44:04 AM 20001      7331      0.00  79372.00      0.00       0  mongod
12:44:05 AM 20001      7331      0.00    136.00      0.00       0  mongod
12:44:06 AM 20001      7331      0.00  43068.00      0.00       0  mongod
12:44:07 AM 20001      7331      0.00 405120.00      0.00       0  mongod
12:44:08 AM 20001      7331      0.00 100424.00      0.00       0  mongod
12:44:09 AM 20001      7331      0.00   5456.00      0.00       0  mongod
12:44:10 AM 20001      7331      0.00  19720.00      0.00       0  mongod
12:44:11 AM 20001      7331      0.00  20064.00      0.00       0  mongod
12:44:12 AM 20001      7331      0.00  56452.00      0.00       0  mongod
12:44:13 AM 20001      7331      0.00  20268.00      0.00       0  mongod
12:44:14 AM 20001      7331      0.00  18680.00      0.00       0  mongod
12:44:15 AM 20001      7331      0.00  19752.00      0.00       0  mongod
12:44:16 AM 20001      7331      0.00  19752.00      0.00       0  mongod
12:44:17 AM 20001      7331      0.00  21212.00      0.00       0  mongod
12:44:18 AM 20001      7331      0.00  54740.00      0.00       0  mongod
12:44:19 AM 20001      7331      0.00  19624.00      0.00       0  mongod
12:44:20 AM 20001      7331      0.00  67420.00      0.00       0  mongod
12:44:21 AM 20001      7331      0.00  47488.00      0.00       0  mongod
12:44:22 AM 20001      7331      0.00  19848.00      0.00       0  mongod
12:44:23 AM 20001      7331      0.00  20304.00      0.00       0  mongod
12:44:24 AM 20001      7331      0.00  19488.00      0.00       0  mongod
